date,ticker,text,source,url,published_at
2025-11-14,AAPL,Confused by the iPhone Pocket? That’s by Design. - The New York Times,The New York Times,https://news.google.com/rss/articles/CBMihAFBVV95cUxOcVhuandrbGRCeldLYXhhLXRVcXFmZmEyaDkyMHVWRHVXc2c1U2doeWxjcGpkYXVZUnJiWlpKTGxIQTR6bVZYc21NT04tQ1hiNDcyaEZMVDUyU0ZOSnlpU042WC02aFJHRnJWSkQ4RU9rR3FUZ2k0WXJOUmpBSDVDVE9mNGg?oc=5,2025-11-14T08:00:00+00:00
2025-11-16,AAPL,Apple’s iPhone Overhaul Will Reduce Its Reliance on Annual Fall Spectacle - Bloomberg.com,Bloomberg.com,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOMzRLeDFRNGk3b1FmcGVVMXJ1bFQ4b1VqaVRBN28wOHN5VURESlBpZUNrb3dDeHkxczdBWXNFSFc2OWc3cEpuN3dZZFR4UlRCamRob1JXRkpKTzlmNXpLdWlJWFU3T1J1c3k1ZFRPbFlMQzNtY0NUTUl2SnJZYVJuYnExN0ZDTTdhbVhKWXFGaU4wT3JUSFlDdHFyTzVUQnQwdm5KVFlFSGpDY2NrMHVXbXpvYTJKRDdoNGd3WEhObGNidU9hQ2FnMnhwREM4VUlrM1NkZA?oc=5,2025-11-16T08:00:00+00:00
2025-11-20,AAPL,After 2 years of charging my iPhone the 'Apple way' - here's how the battery has held up - ZDNET,ZDNET,https://news.google.com/rss/articles/CBMitAFBVV95cUxPQ29IN1hSVktKR0FqU2d0WVJtd2VrQVJOVVVyLUtqcm1HeF9zQzVOVFhvWHZYVHV5SFZWTlEzQjBLa1B3OTNRUm1iYUMxUjNFb0JaSlNxM29QMFd5YUJVZFAtOFJEbHQ4ZHlyOWk4NWpxV2FUSl8wZ0JMbW0wZDQ0QjFFRmtWWUc2Sl9oZ3FLZWt2Q01CTmRpcVlCak5hQVhxZUlFc045bUhTM0ZHa2lHc2Y2Qi0?oc=5,2025-11-20T15:43:00+00:00
2025-11-20,AAPL,Exploring LLMs with MLX and the Neural Accelerators in the M5 GPU - Apple Machine Learning Research,Apple Machine Learning Research,https://news.google.com/rss/articles/CBMickFVX3lxTFBxUGFPa3RCQnFkUkR6bUgzb1Q1V3hSZmxfeUxVdGI5TE5WYmpoVFdNdkVRYUc3ZmYwTWsxcVg1WTFBSjNDc2FNbHN6S2YwTXpQaXZwVWNUVUUzVXRTdkVuRVYtcHZkelB3MDlITUtYMFZGQQ?oc=5,2025-11-20T05:49:07+00:00
2025-11-21,AAPL,Apple’s new limited edition iPhone grip is all about accessibility - The Verge,The Verge,https://news.google.com/rss/articles/CBMingFBVV95cUxPZ3diUlViejJXOGk0cVlfSm9qMHpPOUtmZ1pyRHh2eWZIS0dBT0ZnQk9qbkNPeGtnZHR5WnpuSEhsLUVCQlBlckFtZmVTNnJjUlpDZ0lINHFFS1VDV2REeF9KNllzMG1rNE1DQlV4cUJJbVRrOXMwTWhqME9ZczFfWGx6b2drV0sza00zbi1wWmFKTUM2dTQyMDdmNjkydw?oc=5,2025-11-21T12:54:33+00:00
2025-11-21,AAPL,"Black Friday deals: AirPods 4, M5 MacBook Pro, iPad Pro, more 9to5Mac - 9to5Mac",9to5Mac,https://news.google.com/rss/articles/CBMijAFBVV95cUxQMGV2Vkx0bFBHemhfMXQ3aGhnZmxlYW02cXJTNzMtTkNoVDROejk1S0JFeTcxQ1JUcUpUbWNpa2swWnFqY2JwOV91Q2NwV1UycnZCOVFZWmtaRWs5SlZUVTIwOE40TmFZLUtzaHdQR1hOMWRqZl9DOGhVUnN3SlpMVUpRaVRmZGpEQWdrUw?oc=5,2025-11-21T16:46:00+00:00
2025-11-21,AAPL,"Report: Low-Cost iPhone, iPad, MacBook Coming Early 2026 - MacRumors",MacRumors,https://news.google.com/rss/articles/CBMigwFBVV95cUxOdTg2WnpyZXd2SWRGb19odXdyTkU4bVVzTHNCUnBOaWZiY0Q5UUJHbEdDSmc2ZktJZmcxVXhGUWpzYklKNGxMcjJGdi1aM0dkMmpraWVCV3BIRG1VbFlKWnl4YjBnT2RiRlliaTVzaEZKLXF3VGpnRi1ZN0hfREppckNHSQ?oc=5,2025-11-21T10:26:27+00:00
2025-11-21,AAPL,"Low-cost MacBook and more launching in Q1 2026, report says - 9to5Mac",9to5Mac,https://news.google.com/rss/articles/CBMilAFBVV95cUxPZ2xRZ2RNdnk2Z3VKY2RYanJQMHpYdG1HMW1ZZ3NhTmg0NU9EUC0tbkFtQzZoT29iQ2F5MG56YXhaeEw1QXBqTEMzeHRFTUdZLVVvek1LLTdsbGM2NkJfZXUwaVdHdFp6WUZqTWxMd3ZoVzdicDZXRWd0UDhNQUZ6N1I0am9ueG91ZnVldGRTQjJoQ2pa?oc=5,2025-11-21T12:29:00+00:00
2025-11-21,AAPL,This Black Friday MacBook deal is making my old laptop very nervous - TechRadar,TechRadar,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNRGZrYmlHT2NSbGlOb0ZzNENlR21xekJscTI2bGJOZ2RWeHhSdXdfOG1RMmVZdlVRaG1ERHlUX3YyZDE0ckQyVk5uUml5aDBqTW8zNzFhOWVVT2ZqVVM1bXNlNklyOHVabFh3VXNXTWRvMmFpY2I1Rm5JYmcyLUUyZGZ1aXhvc3BIcFRmREpSWWR5TkdDRnNGV1NNeDNpWk9Fbjg5QjdpbmRsLVVPdVRoT2d2OFZjcWFVLTczdGlRdzR3SkxTVXNXUXVsVjBicEhPVEhhMFpIQ2Z6aWdIUjhqZ3BBRU9ZVkVnR0lZ?oc=5,2025-11-21T17:39:25+00:00
2025-11-22,AAPL,Apple iPhone 17 Pro Max First Impressions - Thurrott.com,Thurrott.com,https://news.google.com/rss/articles/CBMijAFBVV95cUxNUnZDamhPblpaVlFYZWhTV0NhUzdCb3A4YlBockRicU5CNjhZRTBvb3dEX2lqU2psMnE4YnotQ1RNU2ZKZXpYWmRieWtPZmdWbWktMEJKUFZBbHF0VXdNdGppUWlBeDVKdVU1Mk04a0xfNmNYMzFneUNXVFJCOVNVaHVNV1Rkb3dCUzh4Vg?oc=5,2025-11-22T19:12:22+00:00
